Index,Name,Full_Name,Intensity,Space,Hemi
1,LH_Vis_1,LH_Vis_1,1,T1w,L
2,LH_Vis_2,LH_Vis_2,2,T1w,L
3,LH_Vis_3,LH_Vis_3,3,T1w,L
4,LH_Vis_4,LH_Vis_4,4,T1w,L
5,LH_Vis_5,LH_Vis_5,5,T1w,L
6,LH_Vis_6,LH_Vis_6,6,T1w,L
7,LH_Vis_7,LH_Vis_7,7,T1w,L
8,LH_Vis_8,LH_Vis_8,8,T1w,L
9,LH_Vis_9,LH_Vis_9,9,T1w,L
10,LH_SomMot_1,LH_SomMot_1,10,T1w,L
11,LH_SomMot_2,LH_SomMot_2,11,T1w,L
12,LH_SomMot_3,LH_SomMot_3,12,T1w,L
13,LH_SomMot_4,LH_SomMot_4,13,T1w,L
14,LH_SomMot_5,LH_SomMot_5,14,T1w,L
15,LH_SomMot_6,LH_SomMot_6,15,T1w,L
16,LH_DorsAttn_Post_1,LH_DorsAttn_Post_1,16,T1w,L
17,LH_DorsAttn_Post_2,LH_DorsAttn_Post_2,17,T1w,L
18,LH_DorsAttn_Post_3,LH_DorsAttn_Post_3,18,T1w,L
19,LH_DorsAttn_Post_4,LH_DorsAttn_Post_4,19,T1w,L
20,LH_DorsAttn_Post_5,LH_DorsAttn_Post_5,20,T1w,L
21,LH_DorsAttn_Post_6,LH_DorsAttn_Post_6,21,T1w,L
22,LH_DorsAttn_PrCv_1,LH_DorsAttn_PrCv_1,22,T1w,L
23,LH_DorsAttn_FEF_1,LH_DorsAttn_FEF_1,23,T1w,L
24,LH_SalVentAttn_ParOper_1,LH_SalVentAttn_ParOper_1,24,T1w,L
25,LH_SalVentAttn_FrOperIns_1,LH_SalVentAttn_FrOperIns_1,25,T1w,L
26,LH_SalVentAttn_FrOperIns_2,LH_SalVentAttn_FrOperIns_2,26,T1w,L
27,LH_SalVentAttn_PFCl_1,LH_SalVentAttn_PFCl_1,27,T1w,L
28,LH_SalVentAttn_Med_1,LH_SalVentAttn_Med_1,28,T1w,L
29,LH_SalVentAttn_Med_2,LH_SalVentAttn_Med_2,29,T1w,L
30,LH_SalVentAttn_Med_3,LH_SalVentAttn_Med_3,30,T1w,L
31,LH_Limbic_OFC_1,LH_Limbic_OFC_1,31,T1w,L
32,LH_Limbic_TempPole_1,LH_Limbic_TempPole_1,32,T1w,L
33,LH_Limbic_TempPole_2,LH_Limbic_TempPole_2,33,T1w,L
34,LH_Cont_Par_1,LH_Cont_Par_1,34,T1w,L
35,LH_Cont_PFCl_1,LH_Cont_PFCl_1,35,T1w,L
36,LH_Cont_pCun_1,LH_Cont_pCun_1,36,T1w,L
37,LH_Cont_Cing_1,LH_Cont_Cing_1,37,T1w,L
38,LH_Default_Temp_1,LH_Default_Temp_1,38,T1w,L
39,LH_Default_Temp_2,LH_Default_Temp_2,39,T1w,L
40,LH_Default_Par_1,LH_Default_Par_1,40,T1w,L
41,LH_Default_Par_2,LH_Default_Par_2,41,T1w,L
42,LH_Default_PFC_1,LH_Default_PFC_1,42,T1w,L
43,LH_Default_PFC_2,LH_Default_PFC_2,43,T1w,L
44,LH_Default_PFC_3,LH_Default_PFC_3,44,T1w,L
45,LH_Default_PFC_4,LH_Default_PFC_4,45,T1w,L
46,LH_Default_PFC_5,LH_Default_PFC_5,46,T1w,L
47,LH_Default_PFC_6,LH_Default_PFC_6,47,T1w,L
48,LH_Default_PFC_7,LH_Default_PFC_7,48,T1w,L
49,LH_Default_pCunPCC_1,LH_Default_pCunPCC_1,49,T1w,L
