Index,Name,Full_Name,Intensity,Space,Hemi,Region,ICN,R,A,S
1,LH_Vis_1,LH_Vis_1,1,MNI,L,cortex,Vis,-26,-34,-18
2,LH_Vis_2,LH_Vis_2,2,MNI,L,cortex,Vis,-26,-76,-14
3,LH_Vis_3,LH_Vis_3,3,MNI,L,cortex,Vis,-18,-60,-6
4,LH_Vis_4,LH_Vis_4,4,MNI,L,cortex,Vis,-26,-96,-4
5,LH_Vis_5,LH_Vis_5,5,MNI,L,cortex,Vis,-6,-92,-2
6,LH_Vis_6,LH_Vis_6,6,MNI,L,cortex,Vis,-12,-66,6
7,LH_Vis_7,LH_Vis_7,7,MNI,L,cortex,Vis,-48,-70,10
8,LH_Vis_8,LH_Vis_8,8,MNI,L,cortex,Vis,-26,-88,20
9,LH_Vis_9,LH_Vis_9,9,MNI,L,cortex,Vis,-6,-82,26
10,LH_SomMot_1,LH_SomMot_1,10,MNI,L,cortex,SomMot,-54,-22,8
11,LH_SomMot_2,LH_SomMot_2,11,MNI,L,cortex,SomMot,-36,-22,16
12,LH_SomMot_3,LH_SomMot_3,12,MNI,L,cortex,SomMot,-54,-12,14
13,LH_SomMot_4,LH_SomMot_4,13,MNI,L,cortex,SomMot,-54,-8,34
14,LH_SomMot_5,LH_SomMot_5,14,MNI,L,cortex,SomMot,-40,-22,58
15,LH_SomMot_6,LH_SomMot_6,15,MNI,L,cortex,SomMot,-6,-28,70
16,LH_DorsAttn_Post_1,LH_DorsAttn_Post_1,16,MNI,L,cortex,DorsAttn,-46,-58,-12
17,LH_DorsAttn_Post_2,LH_DorsAttn_Post_2,17,MNI,L,cortex,DorsAttn,-58,-24,38
18,LH_DorsAttn_Post_3,LH_DorsAttn_Post_3,18,MNI,L,cortex,DorsAttn,-24,-68,50
19,LH_DorsAttn_Post_4,LH_DorsAttn_Post_4,19,MNI,L,cortex,DorsAttn,-42,-34,48
20,LH_DorsAttn_Post_5,LH_DorsAttn_Post_5,20,MNI,L,cortex,DorsAttn,-6,-60,56
21,LH_DorsAttn_Post_6,LH_DorsAttn_Post_6,21,MNI,L,cortex,DorsAttn,-22,-50,66
22,LH_DorsAttn_PrCv_1,LH_DorsAttn_PrCv_1,22,MNI,L,cortex,DorsAttn,-48,6,28
23,LH_DorsAttn_FEF_1,LH_DorsAttn_FEF_1,23,MNI,L,cortex,DorsAttn,-26,-4,60
24,LH_SalVentAttn_ParOper_1,LH_SalVentAttn_ParOper_1,24,MNI,L,cortex,SalVentAttn,-58,-38,30
25,LH_SalVentAttn_FrOperIns_1,LH_SalVentAttn_FrOperIns_1,25,MNI,L,cortex,SalVentAttn,-42,-2,-6
26,LH_SalVentAttn_FrOperIns_2,LH_SalVentAttn_FrOperIns_2,26,MNI,L,cortex,SalVentAttn,-38,12,6
27,LH_SalVentAttn_PFCl_1,LH_SalVentAttn_PFCl_1,27,MNI,L,cortex,SalVentAttn,-30,44,30
28,LH_SalVentAttn_Med_1,LH_SalVentAttn_Med_1,28,MNI,L,cortex,SalVentAttn,-6,20,34
29,LH_SalVentAttn_Med_2,LH_SalVentAttn_Med_2,29,MNI,L,cortex,SalVentAttn,-12,-34,46
30,LH_SalVentAttn_Med_3,LH_SalVentAttn_Med_3,30,MNI,L,cortex,SalVentAttn,-6,4,62
31,LH_Limbic_OFC_1,LH_Limbic_OFC_1,31,MNI,L,cortex,Limbic,-14,32,-20
32,LH_Limbic_TempPole_1,LH_Limbic_TempPole_1,32,MNI,L,cortex,Limbic,-32,2,-38
33,LH_Limbic_TempPole_2,LH_Limbic_TempPole_2,33,MNI,L,cortex,Limbic,-58,-32,-22
