Index,Name,Full_Name,Intensity,Space,Hemi,Region,ICN,R,A,S
1,LH_VisCent_ExStr_1,LH_VisCent_ExStr_1,1,T1w,L,cortex,VisCent,-26,-78,-14
2,LH_VisCent_ExStr_2,LH_VisCent_ExStr_2,2,T1w,L,cortex,VisCent,-26,-96,-12
3,LH_VisCent_ExStr_3,LH_VisCent_ExStr_3,3,T1w,L,cortex,VisCent,-6,-92,-4
4,LH_VisCent_ExStr_4,LH_VisCent_ExStr_4,4,T1w,L,cortex,VisCent,-22,-96,6
5,LH_VisCent_ExStr_5,LH_VisCent_ExStr_5,5,T1w,L,cortex,VisCent,-40,-84,10
6,LH_VisCent_ExStr_6,LH_VisCent_ExStr_6,6,T1w,L,cortex,VisCent,-24,-88,24
7,LH_VisPeri_ExStrSup_1,LH_VisPeri_ExStrSup_1,7,T1w,L,cortex,VisPeri,-24,-54,-10
8,LH_VisPeri_ExStrSup_2,LH_VisPeri_ExStrSup_2,8,T1w,L,cortex,VisPeri,-10,-68,-4
9,LH_VisPeri_ExStrSup_3,LH_VisPeri_ExStrSup_3,9,T1w,L,cortex,VisPeri,-14,-44,-2
10,LH_VisPeri_ExStrSup_4,LH_VisPeri_ExStrSup_4,10,T1w,L,cortex,VisPeri,-12,-70,8
11,LH_VisPeri_ExStrSup_5,LH_VisPeri_ExStrSup_5,11,T1w,L,cortex,VisPeri,-12,-72,22
12,LH_VisPeri_ExStrSup_6,LH_VisPeri_ExStrSup_6,12,T1w,L,cortex,VisPeri,-6,-88,28
13,LH_SomMotA_1,LH_SomMotA_1,13,T1w,L,cortex,SomMotA,-8,-12,46
14,LH_SomMotA_2,LH_SomMotA_2,14,T1w,L,cortex,SomMotA,-48,-28,56
15,LH_SomMotA_3,LH_SomMotA_3,15,T1w,L,cortex,SomMotA,-40,-26,56
16,LH_SomMotA_4,LH_SomMotA_4,16,T1w,L,cortex,SomMotA,-32,-22,64
17,LH_SomMotA_5,LH_SomMotA_5,17,T1w,L,cortex,SomMotA,-26,-38,68
18,LH_SomMotA_6,LH_SomMotA_6,18,T1w,L,cortex,SomMotA,-20,-10,68
19,LH_SomMotA_7,LH_SomMotA_7,19,T1w,L,cortex,SomMotA,-4,-32,66
20,LH_SomMotA_8,LH_SomMotA_8,20,T1w,L,cortex,SomMotA,-20,-30,68
21,LH_SomMotB_Aud_1,LH_SomMotB_Aud_1,21,T1w,L,cortex,SomMotB,-50,-4,-2
22,LH_SomMotB_Aud_2,LH_SomMotB_Aud_2,22,T1w,L,cortex,SomMotB,-54,-24,10
23,LH_SomMotB_Aud_3,LH_SomMotB_Aud_3,23,T1w,L,cortex,SomMotB,-36,-22,16
24,LH_SomMotB_Aud_4,LH_SomMotB_Aud_4,24,T1w,L,cortex,SomMotB,-56,-4,10
25,LH_SomMotB_Aud_5,LH_SomMotB_Aud_5,25,T1w,L,cortex,SomMotB,-56,-40,20
26,LH_SomMotB_Aud_6,LH_SomMotB_Aud_6,26,T1w,L,cortex,SomMotB,-52,-22,18
27,LH_SomMotB_Aud_7,LH_SomMotB_Aud_7,27,T1w,L,cortex,SomMotB,-56,-8,30
28,LH_SomMotB_Aud_8,LH_SomMotB_Aud_8,28,T1w,L,cortex,SomMotB,-48,-8,46
29,LH_DorsAttnA_TempOcc_1,LH_DorsAttnA_TempOcc_1,29,T1w,L,cortex,DorsAttnA,-44,-48,-20
30,LH_DorsAttnA_TempOcc_2,LH_DorsAttnA_TempOcc_2,30,T1w,L,cortex,DorsAttnA,-46,-70,-8
31,LH_DorsAttnA_TempOcc_3,LH_DorsAttnA_TempOcc_3,31,T1w,L,cortex,DorsAttnA,-48,-70,10
32,LH_DorsAttnA_SPL_1,LH_DorsAttnA_SPL_1,32,T1w,L,cortex,DorsAttnA,-26,-70,38
33,LH_DorsAttnA_SPL_2,LH_DorsAttnA_SPL_2,33,T1w,L,cortex,DorsAttnA,-16,-72,54
34,LH_DorsAttnA_SPL_3,LH_DorsAttnA_SPL_3,34,T1w,L,cortex,DorsAttnA,-30,-60,60
35,LH_DorsAttnB_PostC_1,LH_DorsAttnB_PostC_1,35,T1w,L,cortex,DorsAttnB,-54,-26,42
36,LH_DorsAttnB_PostC_2,LH_DorsAttnB_PostC_2,36,T1w,L,cortex,DorsAttnB,-40,-36,48
37,LH_DorsAttnB_PostC_3,LH_DorsAttnB_PostC_3,37,T1w,L,cortex,DorsAttnB,-30,-46,62
38,LH_DorsAttnB_PostC_4,LH_DorsAttnB_PostC_4,38,T1w,L,cortex,DorsAttnB,-18,-54,68
39,LH_DorsAttnB_FEF_1,LH_DorsAttnB_FEF_1,39,T1w,L,cortex,DorsAttnB,-32,-4,54
40,LH_SalVentAttnA_ParOper_1,LH_SalVentAttnA_ParOper_1,40,T1w,L,cortex,SalVentAttnA,-62,-26,28
41,LH_SalVentAttnA_Ins_1,LH_SalVentAttnA_Ins_1,41,T1w,L,cortex,SalVentAttnA,-40,-4,-4
42,LH_SalVentAttnA_Ins_2,LH_SalVentAttnA_Ins_2,42,T1w,L,cortex,SalVentAttnA,-38,0,10
43,LH_SalVentAttnA_Ins_3,LH_SalVentAttnA_Ins_3,43,T1w,L,cortex,SalVentAttnA,-52,8,10
44,LH_SalVentAttnA_ParMed_1,LH_SalVentAttnA_ParMed_1,44,T1w,L,cortex,SalVentAttnA,-12,-36,46
45,LH_SalVentAttnA_FrMed_1,LH_SalVentAttnA_FrMed_1,45,T1w,L,cortex,SalVentAttnA,-6,10,42
46,LH_SalVentAttnA_FrMed_2,LH_SalVentAttnA_FrMed_2,46,T1w,L,cortex,SalVentAttnA,-6,-2,66
47,LH_SalVentAttnB_IPL_1,LH_SalVentAttnB_IPL_1,47,T1w,L,cortex,SalVentAttnB,-60,-40,36
48,LH_SalVentAttnB_PFCl_1,LH_SalVentAttnB_PFCl_1,48,T1w,L,cortex,SalVentAttnB,-28,42,32
49,LH_SalVentAttnB_PFCv_1,LH_SalVentAttnB_PFCv_1,49,T1w,L,cortex,SalVentAttnB,-34,20,6
50,LH_SalVentAttnB_PFCmp_1,LH_SalVentAttnB_PFCmp_1,50,T1w,L,cortex,SalVentAttnB,-6,30,24
51,LH_Limbic_OFC_1,LH_Limbic_OFC_1,51,T1w,L,cortex,Limbic,-24,22,-20
52,LH_Limbic_OFC_2,LH_Limbic_OFC_2,52,T1w,L,cortex,Limbic,-10,36,-20
53,LH_Limbic_TempPole_1,LH_Limbic_TempPole_1,53,T1w,L,cortex,Limbic,-30,-6,-40
54,LH_Limbic_TempPole_2,LH_Limbic_TempPole_2,54,T1w,L,cortex,Limbic,-44,-20,-30
55,LH_Limbic_TempPole_3,LH_Limbic_TempPole_3,55,T1w,L,cortex,Limbic,-28,10,-34
56,LH_Limbic_TempPole_4,LH_Limbic_TempPole_4,56,T1w,L,cortex,Limbic,-42,8,-18
57,LH_ContA_Temp_1,LH_ContA_Temp_1,57,T1w,L,cortex,ContA,-56,-60,-2
58,LH_ContA_IPS_1,LH_ContA_IPS_1,58,T1w,L,cortex,ContA,-34,-62,48
59,LH_ContA_IPS_2,LH_ContA_IPS_2,59,T1w,L,cortex,ContA,-46,-42,46
60,LH_ContA_IPS_3,LH_ContA_IPS_3,60,T1w,L,cortex,ContA,-32,-48,46
61,LH_ContA_PFCd_1,LH_ContA_PFCd_1,61,T1w,L,cortex,ContA,-22,6,62
62,LH_ContA_PFCl_1,LH_ContA_PFCl_1,62,T1w,L,cortex,ContA,-42,40,16
63,LH_ContA_PFCl_2,LH_ContA_PFCl_2,63,T1w,L,cortex,ContA,-44,20,28
64,LH_ContA_PFCl_3,LH_ContA_PFCl_3,64,T1w,L,cortex,ContA,-48,6,28
65,LH_ContA_PFCl_4,LH_ContA_PFCl_4,65,T1w,L,cortex,ContA,-42,6,44
66,LH_ContA_Cinga_1,LH_ContA_Cinga_1,66,T1w,L,cortex,ContA,-4,4,30
67,LH_ContB_Temp_1,LH_ContB_Temp_1,67,T1w,L,cortex,ContB,-60,-42,-14
68,LH_ContB_IPL_1,LH_ContB_IPL_1,68,T1w,L,cortex,ContB,-54,-50,46
69,LH_ContB_PFCl_1,LH_ContB_PFCl_1,69,T1w,L,cortex,ContB,-40,18,50
70,LH_ContB_PFClv_1,LH_ContB_PFClv_1,70,T1w,L,cortex,ContB,-42,50,-6
71,LH_ContB_PFClv_2,LH_ContB_PFClv_2,71,T1w,L,cortex,ContB,-28,58,8
72,LH_ContC_pCun_1,LH_ContC_pCun_1,72,T1w,L,cortex,ContC,-10,-74,38
73,LH_ContC_pCun_2,LH_ContC_pCun_2,73,T1w,L,cortex,ContC,-6,-60,56
74,LH_ContC_Cingp_1,LH_ContC_Cingp_1,74,T1w,L,cortex,ContC,-4,-28,28
75,LH_DefaultA_IPL_1,LH_DefaultA_IPL_1,75,T1w,L,cortex,DefaultA,-46,-66,38
76,LH_DefaultA_PFCd_1,LH_DefaultA_PFCd_1,76,T1w,L,cortex,DefaultA,-24,24,48
77,LH_DefaultA_PCC_1,LH_DefaultA_PCC_1,77,T1w,L,cortex,DefaultA,-6,-54,28
78,LH_DefaultA_PCC_2,LH_DefaultA_PCC_2,78,T1w,L,cortex,DefaultA,-4,-30,36
79,LH_DefaultA_PCC_3,LH_DefaultA_PCC_3,79,T1w,L,cortex,DefaultA,-6,-54,42
80,LH_DefaultA_PFCm_1,LH_DefaultA_PFCm_1,80,T1w,L,cortex,DefaultA,-6,36,-10
81,LH_DefaultA_PFCm_2,LH_DefaultA_PFCm_2,81,T1w,L,cortex,DefaultA,-12,64,-6
82,LH_DefaultA_PFCm_3,LH_DefaultA_PFCm_3,82,T1w,L,cortex,DefaultA,-6,44,8
83,LH_DefaultB_Temp_1,LH_DefaultB_Temp_1,83,T1w,L,cortex,DefaultB,-46,8,-32
84,LH_DefaultB_Temp_2,LH_DefaultB_Temp_2,84,T1w,L,cortex,DefaultB,-60,-18,-22
