Index,Name,Full_Name,Intensity,Space,Hemi,Region,ICN,R,A,S
1,LH_Vis_1,LH_Vis_1,1,T1w,L,cortex,Vis,-36,-36,-24
2,LH_Vis_2,LH_Vis_2,2,T1w,L,cortex,Vis,-34,-52,-18
3,LH_Vis_3,LH_Vis_3,3,T1w,L,cortex,Vis,-26,-44,-14
4,LH_Vis_4,LH_Vis_4,4,T1w,L,cortex,Vis,-28,-64,-12
5,LH_Vis_5,LH_Vis_5,5,T1w,L,cortex,Vis,-32,-42,-10
6,LH_Vis_6,LH_Vis_6,6,T1w,L,cortex,Vis,-34,-68,-16
7,LH_Vis_7,LH_Vis_7,7,T1w,L,cortex,Vis,-46,-66,-18
8,LH_Vis_8,LH_Vis_8,8,T1w,L,cortex,Vis,-24,-58,-8
9,LH_Vis_9,LH_Vis_9,9,T1w,L,cortex,Vis,-36,-80,-14
10,LH_Vis_10,LH_Vis_10,10,T1w,L,cortex,Vis,-26,-80,-14
11,LH_Vis_11,LH_Vis_11,11,T1w,L,cortex,Vis,-22,-74,-8
12,LH_Vis_12,LH_Vis_12,12,T1w,L,cortex,Vis,-44,-72,-10
13,LH_Vis_13,LH_Vis_13,13,T1w,L,cortex,Vis,-22,-50,-6
14,LH_Vis_14,LH_Vis_14,14,T1w,L,cortex,Vis,-20,-88,-16
15,LH_Vis_15,LH_Vis_15,15,T1w,L,cortex,Vis,-42,-84,-14
16,LH_Vis_16,LH_Vis_16,16,T1w,L,cortex,Vis,-14,-70,-10
17,LH_Vis_17,LH_Vis_17,17,T1w,L,cortex,Vis,-12,-84,-14
18,LH_Vis_18,LH_Vis_18,18,T1w,L,cortex,Vis,-30,-92,-18
19,LH_Vis_19,LH_Vis_19,19,T1w,L,cortex,Vis,-14,-64,-6
20,LH_Vis_20,LH_Vis_20,20,T1w,L,cortex,Vis,-16,-38,-10
21,LH_Vis_21,LH_Vis_21,21,T1w,L,cortex,Vis,-46,-72,-2
22,LH_Vis_22,LH_Vis_22,22,T1w,L,cortex,Vis,-14,-50,-8
23,LH_Vis_23,LH_Vis_23,23,T1w,L,cortex,Vis,-6,-78,-8
