Index,Name,Full_Name,Intensity,Space,Hemi
1,LH_Vis_1,LH_Vis_1,1,T1w,L
2,LH_Vis_2,LH_Vis_2,2,T1w,L
3,LH_Vis_3,LH_Vis_3,3,T1w,L
4,LH_Vis_4,LH_Vis_4,4,T1w,L
5,LH_Vis_5,LH_Vis_5,5,T1w,L
6,LH_Vis_6,LH_Vis_6,6,T1w,L
7,LH_Vis_7,LH_Vis_7,7,T1w,L
8,LH_Vis_8,LH_Vis_8,8,T1w,L
9,LH_Vis_9,LH_Vis_9,9,T1w,L
10,LH_Vis_10,LH_Vis_10,10,T1w,L
11,LH_Vis_11,LH_Vis_11,11,T1w,L
12,LH_Vis_12,LH_Vis_12,12,T1w,L
13,LH_Vis_13,LH_Vis_13,13,T1w,L
14,LH_Vis_14,LH_Vis_14,14,T1w,L
15,LH_SomMot_1,LH_SomMot_1,15,T1w,L
16,LH_SomMot_2,LH_SomMot_2,16,T1w,L
17,LH_SomMot_3,LH_SomMot_3,17,T1w,L
18,LH_SomMot_4,LH_SomMot_4,18,T1w,L
19,LH_SomMot_5,LH_SomMot_5,19,T1w,L
20,LH_SomMot_6,LH_SomMot_6,20,T1w,L
21,LH_SomMot_7,LH_SomMot_7,21,T1w,L
22,LH_SomMot_8,LH_SomMot_8,22,T1w,L
23,LH_SomMot_9,LH_SomMot_9,23,T1w,L
24,LH_SomMot_10,LH_SomMot_10,24,T1w,L
25,LH_SomMot_11,LH_SomMot_11,25,T1w,L
26,LH_SomMot_12,LH_SomMot_12,26,T1w,L
27,LH_SomMot_13,LH_SomMot_13,27,T1w,L
28,LH_SomMot_14,LH_SomMot_14,28,T1w,L
29,LH_SomMot_15,LH_SomMot_15,29,T1w,L
30,LH_SomMot_16,LH_SomMot_16,30,T1w,L
31,LH_DorsAttn_Post_1,LH_DorsAttn_Post_1,31,T1w,L
32,LH_DorsAttn_Post_2,LH_DorsAttn_Post_2,32,T1w,L
33,LH_DorsAttn_Post_3,LH_DorsAttn_Post_3,33,T1w,L
34,LH_DorsAttn_Post_4,LH_DorsAttn_Post_4,34,T1w,L
35,LH_DorsAttn_Post_5,LH_DorsAttn_Post_5,35,T1w,L
36,LH_DorsAttn_Post_6,LH_DorsAttn_Post_6,36,T1w,L
37,LH_DorsAttn_Post_7,LH_DorsAttn_Post_7,37,T1w,L
38,LH_DorsAttn_Post_8,LH_DorsAttn_Post_8,38,T1w,L
39,LH_DorsAttn_Post_9,LH_DorsAttn_Post_9,39,T1w,L
40,LH_DorsAttn_Post_10,LH_DorsAttn_Post_10,40,T1w,L
41,LH_DorsAttn_FEF_1,LH_DorsAttn_FEF_1,41,T1w,L
42,LH_DorsAttn_FEF_2,LH_DorsAttn_FEF_2,42,T1w,L
43,LH_DorsAttn_PrCv_1,LH_DorsAttn_PrCv_1,43,T1w,L
44,LH_SalVentAttn_ParOper_1,LH_SalVentAttn_ParOper_1,44,T1w,L
45,LH_SalVentAttn_ParOper_2,LH_SalVentAttn_ParOper_2,45,T1w,L
46,LH_SalVentAttn_ParOper_3,LH_SalVentAttn_ParOper_3,46,T1w,L
47,LH_SalVentAttn_FrOperIns_1,LH_SalVentAttn_FrOperIns_1,47,T1w,L
48,LH_SalVentAttn_FrOperIns_2,LH_SalVentAttn_FrOperIns_2,48,T1w,L
49,LH_SalVentAttn_FrOperIns_3,LH_SalVentAttn_FrOperIns_3,49,T1w,L
50,LH_SalVentAttn_FrOperIns_4,LH_SalVentAttn_FrOperIns_4,50,T1w,L
