Index,Name,Full_Name,Intensity,Space,Hemi,Region,ICN,R,A,S
1,LH_VisCent_ExStr_1,LH_VisCent_ExStr_1,1,MNI,L,cortex,VisCent,-36,-62,-16
2,LH_VisCent_ExStr_2,LH_VisCent_ExStr_2,2,MNI,L,cortex,VisCent,-24,-72,-10
3,LH_VisCent_ExStr_3,LH_VisCent_ExStr_3,3,MNI,L,cortex,VisCent,-36,-82,-16
4,LH_VisCent_ExStr_4,LH_VisCent_ExStr_4,4,MNI,L,cortex,VisCent,-16,-86,-16
5,LH_VisCent_ExStr_5,LH_VisCent_ExStr_5,5,MNI,L,cortex,VisCent,-24,-96,-12
6,LH_VisCent_ExStr_6,LH_VisCent_ExStr_6,6,MNI,L,cortex,VisCent,-42,-86,-4
7,LH_VisCent_ExStr_7,LH_VisCent_ExStr_7,7,MNI,L,cortex,VisCent,-8,-98,-8
8,LH_VisCent_ExStr_8,LH_VisCent_ExStr_8,8,MNI,L,cortex,VisCent,-46,-74,6
9,LH_VisCent_ExStr_9,LH_VisCent_ExStr_9,9,MNI,L,cortex,VisCent,-24,-96,6
10,LH_VisCent_ExStr_10,LH_VisCent_ExStr_10,10,MNI,L,cortex,VisCent,-40,-84,14
11,LH_VisCent_ExStr_11,LH_VisCent_ExStr_11,11,MNI,L,cortex,VisCent,-10,-96,18
12,LH_VisCent_ExStr_12,LH_VisCent_ExStr_12,12,MNI,L,cortex,VisCent,-26,-84,22
13,LH_VisPeri_ExStrSup_1,LH_VisPeri_ExStrSup_1,13,MNI,L,cortex,VisPeri,-24,-54,-8
14,LH_VisPeri_ExStrSup_2,LH_VisPeri_ExStrSup_2,14,MNI,L,cortex,VisPeri,-12,-62,-4
15,LH_VisPeri_ExStrSup_3,LH_VisPeri_ExStrSup_3,15,MNI,L,cortex,VisPeri,-6,-76,-6
16,LH_VisPeri_ExStrSup_4,LH_VisPeri_ExStrSup_4,16,MNI,L,cortex,VisPeri,-14,-44,-6
17,LH_VisPeri_ExStrSup_5,LH_VisPeri_ExStrSup_5,17,MNI,L,cortex,VisPeri,-14,-56,2
18,LH_VisPeri_ExStrSup_6,LH_VisPeri_ExStrSup_6,18,MNI,L,cortex,VisPeri,-4,-88,2
19,LH_VisPeri_ExStrSup_7,LH_VisPeri_ExStrSup_7,19,MNI,L,cortex,VisPeri,-8,-74,10
20,LH_VisPeri_ExStrSup_8,LH_VisPeri_ExStrSup_8,20,MNI,L,cortex,VisPeri,-18,-64,6
21,LH_VisPeri_ExStrSup_9,LH_VisPeri_ExStrSup_9,21,MNI,L,cortex,VisPeri,-2,-84,24
22,LH_VisPeri_ExStrSup_10,LH_VisPeri_ExStrSup_10,22,MNI,L,cortex,VisPeri,-12,-72,20
23,LH_VisPeri_ExStrSup_11,LH_VisPeri_ExStrSup_11,23,MNI,L,cortex,VisPeri,-16,-88,34
24,LH_VisPeri_ExStrSup_12,LH_VisPeri_ExStrSup_12,24,MNI,L,cortex,VisPeri,-12,-82,36
25,LH_SomMotA_1,LH_SomMotA_1,25,MNI,L,cortex,SomMotA,-8,-16,48
26,LH_SomMotA_2,LH_SomMotA_2,26,MNI,L,cortex,SomMotA,-40,-14,48
27,LH_SomMotA_3,LH_SomMotA_3,27,MNI,L,cortex,SomMotA,-48,-18,54
28,LH_SomMotA_4,LH_SomMotA_4,28,MNI,L,cortex,SomMotA,-48,-30,58
29,LH_SomMotA_5,LH_SomMotA_5,29,MNI,L,cortex,SomMotA,-38,-24,52
30,LH_SomMotA_6,LH_SomMotA_6,30,MNI,L,cortex,SomMotA,-8,-38,54
31,LH_SomMotA_7,LH_SomMotA_7,31,MNI,L,cortex,SomMotA,-4,-24,56
32,LH_SomMotA_8,LH_SomMotA_8,32,MNI,L,cortex,SomMotA,-4,-8,60
33,LH_SomMotA_9,LH_SomMotA_9,33,MNI,L,cortex,SomMotA,-36,-20,64
34,LH_SomMotA_10,LH_SomMotA_10,34,MNI,L,cortex,SomMotA,-32,-30,62
35,LH_SomMotA_11,LH_SomMotA_11,35,MNI,L,cortex,SomMotA,-30,-38,66
36,LH_SomMotA_12,LH_SomMotA_12,36,MNI,L,cortex,SomMotA,-24,-10,64
37,LH_SomMotA_13,LH_SomMotA_13,37,MNI,L,cortex,SomMotA,-20,-24,66
38,LH_SomMotA_14,LH_SomMotA_14,38,MNI,L,cortex,SomMotA,-8,-42,70
39,LH_SomMotA_15,LH_SomMotA_15,39,MNI,L,cortex,SomMotA,-4,-26,68
40,LH_SomMotA_16,LH_SomMotA_16,40,MNI,L,cortex,SomMotA,-14,-12,72
41,LH_SomMotA_17,LH_SomMotA_17,41,MNI,L,cortex,SomMotA,-18,-32,68
42,LH_SomMotA_18,LH_SomMotA_18,42,MNI,L,cortex,SomMotA,-18,-40,72
43,LH_SomMotA_19,LH_SomMotA_19,43,MNI,L,cortex,SomMotA,-12,-26,74
44,LH_SomMotB_Aud_1,LH_SomMotB_Aud_1,44,MNI,L,cortex,SomMotB,-50,-10,0
45,LH_SomMotB_Aud_2,LH_SomMotB_Aud_2,45,MNI,L,cortex,SomMotB,-56,-22,8
46,LH_SomMotB_Aud_3,LH_SomMotB_Aud_3,46,MNI,L,cortex,SomMotB,-36,-24,10
47,LH_SomMotB_Aud_4,LH_SomMotB_Aud_4,47,MNI,L,cortex,SomMotB,-38,-8,12
48,LH_SomMotB_Aud_5,LH_SomMotB_Aud_5,48,MNI,L,cortex,SomMotB,-36,-26,18
49,LH_SomMotB_Aud_6,LH_SomMotB_Aud_6,49,MNI,L,cortex,SomMotB,-58,-36,16
50,LH_SomMotB_Aud_7,LH_SomMotB_Aud_7,50,MNI,L,cortex,SomMotB,-40,-36,14
51,LH_SomMotB_Aud_8,LH_SomMotB_Aud_8,51,MNI,L,cortex,SomMotB,-48,-12,14
52,LH_SomMotB_Aud_9,LH_SomMotB_Aud_9,52,MNI,L,cortex,SomMotB,-60,-2,10
53,LH_SomMotB_Aud_10,LH_SomMotB_Aud_10,53,MNI,L,cortex,SomMotB,-48,-24,18
54,LH_SomMotB_Aud_11,LH_SomMotB_Aud_11,54,MNI,L,cortex,SomMotB,-62,-18,20
55,LH_SomMotB_Aud_12,LH_SomMotB_Aud_12,55,MNI,L,cortex,SomMotB,-60,-2,24
56,LH_SomMotB_Aud_13,LH_SomMotB_Aud_13,56,MNI,L,cortex,SomMotB,-62,-10,32
57,LH_SomMotB_Aud_14,LH_SomMotB_Aud_14,57,MNI,L,cortex,SomMotB,-54,-8,30
58,LH_SomMotB_Aud_15,LH_SomMotB_Aud_15,58,MNI,L,cortex,SomMotB,-52,-6,44
59,LH_SomMotB_Aud_16,LH_SomMotB_Aud_16,59,MNI,L,cortex,SomMotB,-48,-16,40
60,LH_DorsAttnA_TempOcc_1,LH_DorsAttnA_TempOcc_1,60,MNI,L,cortex,DorsAttnA,-44,-42,-22
